ticker,day,success_oper_flag,timeout_flag,end_of_interval_flag,best_risk,best_risk_days,min_risk,min_risk_days,max_risk,max_risk_days
ABEV3,2017-05-15,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-05-16,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-05-17,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-05-18,1,0,0,0.0136,2,0.0108,2,0.0665,88
ABEV3,2017-05-19,1,0,0,0.0573,87,0.0542,87,0.0573,87
ABEV3,2017-05-22,1,0,0,0.0132,11,0.0076,10,0.0622,86
ABEV3,2017-05-23,1,0,0,0.0595,85,0.0488,78,0.0595,85
ABEV3,2017-05-24,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-05-25,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-05-26,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-05-30,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-05-31,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-06-01,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-06-02,1,0,0,0.0588,78,0.0506,72,0.0588,78
ABEV3,2017-06-05,1,0,0,0.0117,2,0.0013,2,0.063,90
ABEV3,2017-06-06,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-06-07,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-06-08,1,0,0,0.0741,89,0.0571,87,0.0741,89
ABEV3,2017-06-09,1,0,0,0.0766,88,0.0512,67,0.0766,88
ABEV3,2017-06-12,1,0,0,0.0079,3,0.0071,3,0.0893,87
ABEV3,2017-06-13,1,0,0,0.0882,86,0.0244,32,0.0882,86
ABEV3,2017-06-14,1,0,0,0.0823,85,0.038,61,0.0823,85
ABEV3,2017-06-16,1,0,0,0.0855,84,0.0306,42,0.0855,84
ABEV3,2017-06-19,1,0,0,0.0133,6,0.0098,6,0.0945,83
ABEV3,2017-06-20,1,0,0,0.0072,2,0.0046,2,0.0934,82
ABEV3,2017-06-21,1,0,0,0.0086,4,0.0051,4,0.0887,81
ABEV3,2017-06-22,1,0,0,0.007,3,0.0038,3,0.0869,80
ABEV3,2017-06-23,1,0,0,0.0837,79,0.0235,29,0.0837,79
ABEV3,2017-06-26,1,0,0,0.0818,78,0.0278,36,0.0818,78
ABEV3,2017-06-27,1,0,0,0.0808,77,0.0303,41,0.0808,77
ABEV3,2017-06-28,1,0,0,0.0784,76,0.0358,52,0.0784,76
ABEV3,2017-06-29,1,0,0,0.08,75,0.0321,50,0.08,75
ABEV3,2017-06-30,1,0,0,0.0808,74,0.0303,38,0.0808,74
ABEV3,2017-07-03,1,0,0,0.0787,73,0.0352,49,0.0787,73
ABEV3,2017-07-04,1,0,0,0.06,53,0.026,30,0.0826,72
ABEV3,2017-07-05,1,0,0,0.0592,52,0.0278,29,0.0818,71
ABEV3,2017-07-06,1,0,0,0.0592,51,0.0278,28,0.0818,70
ABEV3,2017-07-07,1,0,0,0.0095,2,0.0019,2,0.0901,69
ABEV3,2017-07-10,1,0,0,0.0106,2,0.0026,2,0.0858,68
ABEV3,2017-07-11,1,0,0,0.0084,2,0.0044,2,0.08,67
ABEV3,2017-07-12,1,0,0,0.0145,12,0.0068,10,0.0733,66
ABEV3,2017-07-13,1,0,0,0.0119,11,0.0105,11,0.0703,65
ABEV3,2017-07-14,1,0,0,0.0041,2,0.0012,2,0.0716,64
ABEV3,2017-07-17,1,0,0,0.0108,9,0.008,9,0.0691,63
ABEV3,2017-07-18,1,0,0,0.0456,43,0.0122,19,0.0674,62
ABEV3,2017-07-19,1,0,0,0.0456,42,0.0116,15,0.0674,61
ABEV3,2017-07-20,1,0,0,0.0117,6,0.0049,6,0.0701,60
ABEV3,2017-07-21,1,0,0,0.0121,5,0.0037,3,0.0706,59
ABEV3,2017-07-24,1,0,0,0.0104,4,0.0037,4,0.0686,58
ABEV3,2017-07-25,1,0,0,0.0094,3,0.0067,3,0.0674,57
ABEV3,2017-07-26,1,0,0,0.01,2,0.0049,2,0.0681,56
ABEV3,2017-07-27,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-07-28,1,0,0,0.0071,2,0.0024,2,0.0657,54
ABEV3,2017-07-31,1,0,0,0.006,3,0.0012,2,0.063,53
ABEV3,2017-08-01,1,0,0,0.0048,2,0.0036,2,0.0616,52
ABEV3,2017-08-02,1,0,0,0.004,2,0.0018,2,0.0613,51
ABEV3,2017-08-03,1,0,0,0.0337,29,0.0137,25,0.0573,50
ABEV3,2017-08-04,1,0,0,0.0106,8,0.0096,8,0.059,49
ABEV3,2017-08-07,1,0,0,0.0054,2,0.0048,2,0.0597,48
ABEV3,2017-08-08,1,0,0,0.009,5,0.0048,4,0.0585,47
ABEV3,2017-08-09,1,0,0,0.0094,4,0.0036,3,0.059,46
ABEV3,2017-08-10,1,0,0,0.0079,3,0.0077,3,0.0573,45
ABEV3,2017-08-11,1,0,0,0.0305,23,0.0065,8,0.0539,44
ABEV3,2017-08-14,1,0,0,0.0067,2,0.0024,2,0.0546,43
ABEV3,2017-08-15,1,0,0,0.0264,21,0.0082,17,0.0496,42
ABEV3,2017-08-16,1,0,0,0.0246,20,0.0133,19,0.0476,41
ABEV3,2017-08-17,1,0,0,0.0267,19,0.0076,15,0.0498,40
ABEV3,2017-08-18,1,0,0,0.0254,18,0.0111,17,0.0485,39
ABEV3,2017-08-21,1,0,0,0.0264,17,0.0082,13,0.0496,38
ABEV3,2017-08-22,1,0,0,0.0248,16,0.0128,15,0.0478,37
ABEV3,2017-08-23,1,0,0,0.0037,2,0.0035,2,0.0509,36
ABEV3,2017-08-24,1,0,0,0.0244,14,0.0139,13,0.0474,35
ABEV3,2017-08-25,1,0,0,0.0243,12,0.0012,3,0.0494,34
ABEV3,2017-08-28,1,0,0,0.0228,11,0.0128,11,0.0478,33
ABEV3,2017-08-29,1,0,0,0.0235,10,0.0111,10,0.0485,32
ABEV3,2017-08-30,1,0,0,0.0208,9,0.0185,9,0.0456,31
ABEV3,2017-08-31,1,0,0,0.0243,8,0.0087,6,0.0494,30
ABEV3,2017-09-01,1,0,0,0.0214,7,0.0168,7,0.0463,29
ABEV3,2017-09-04,1,0,0,0.0245,6,0.0082,3,0.0496,28
ABEV3,2017-09-05,1,0,0,0.022,5,0.0093,5,0.0469,27
ABEV3,2017-09-06,1,0,0,0.0214,4,0.0023,2,0.0463,26
ABEV3,2017-09-08,1,0,0,0.0385,25,0.0227,23,0.0385,25
ABEV3,2017-09-11,1,0,0,0.0173,2,0.0017,2,0.0419,24
ABEV3,2017-09-12,1,0,0,0.0153,2,0.0023,2,0.0377,23
ABEV3,2017-09-13,1,0,0,0.0057,2,0.0033,2,0.0269,22
ABEV3,2017-09-14,1,0,0,0.0082,6,0.0065,6,0.0082,6
ABEV3,2017-09-15,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-09-18,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-09-19,1,0,0,0.0078,3,0.0011,2,0.0078,3
ABEV3,2017-09-20,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-09-21,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-09-22,1,0,0,0.0031,2,0.0011,2,0.0031,2
ABEV3,2017-09-25,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-09-26,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-09-27,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-09-28,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-09-29,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-02,1,0,0,0.0283,9,0.0209,9,0.0283,9
ABEV3,2017-10-03,1,0,0,0.0132,2,0.0045,2,0.0325,8
ABEV3,2017-10-04,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-05,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-06,1,0,0,0.0251,5,0.0115,3,0.0251,5
ABEV3,2017-10-09,1,0,0,0.0139,2,0.0044,2,0.0277,4
ABEV3,2017-10-10,1,0,0,0.0216,3,0.0054,2,0.0216,3
ABEV3,2017-10-11,1,0,0,0.0167,2,0.0085,2,0.0167,2
ABEV3,2017-10-13,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-16,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-17,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-18,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-19,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-20,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-23,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-24,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-25,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-26,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-27,0,1,0,0.0,0,0.0,0,0.0,0
ABEV3,2017-10-30,1,0,0,0.0626,89,0.0481,85,0.0626,89
ABEV3,2017-10-31,1,0,0,0.0591,88,0.0564,88,0.0591,88
ABEV3,2017-11-01,1,0,0,0.06,87,0.0543,85,0.06,87
ABEV3,2017-11-03,1,0,0,0.065,86,0.0422,81,0.065,86
ABEV3,2017-11-06,1,0,0,0.0668,85,0.038,69,0.0668,85
ABEV3,2017-11-07,1,0,0,0.0307,37,0.0277,37,0.0711,84
ABEV3,2017-11-08,1,0,0,0.0145,9,0.0143,9,0.0767,83
ABEV3,2017-11-09,1,0,0,0.0225,23,0.0193,23,0.0727,82
ABEV3,2017-11-10,1,0,0,0.0229,22,0.0182,21,0.0732,81
ABEV3,2017-11-13,1,0,0,0.0124,5,0.0103,5,0.0757,80
ABEV3,2017-11-14,1,0,0,0.0112,4,0.004,3,0.0743,79
ABEV3,2017-11-16,1,0,0,0.012,3,0.0017,2,0.0753,78
ABEV3,2017-11-17,1,0,0,0.009,2,0.0045,2,0.0718,77
ABEV3,2017-11-21,1,0,0,0.0262,29,0.0184,28,0.0661,76
ABEV3,2017-11-22,1,0,0,0.0256,28,0.02,27,0.0692,90
ABEV3,2017-11-23,1,0,0,0.025,27,0.0217,27,0.0685,89
ABEV3,2017-11-24,1,0,0,0.0266,26,0.0173,23,0.0703,88
ABEV3,2017-11-27,1,0,0,0.0181,13,0.0145,12,0.0714,87
ABEV3,2017-11-28,1,0,0,0.0246,24,0.0228,24,0.0681,86
ABEV3,2017-11-29,1,0,0,0.0609,70,0.0314,43,0.0645,85
ABEV3,2017-11-30,1,0,0,0.0199,10,0.0096,7,0.0735,84
ABEV3,2017-12-01,1,0,0,0.0073,3,0.0073,3,0.0744,83
ABEV3,2017-12-04,1,0,0,0.0066,2,0.0045,2,0.0735,82
ABEV3,2017-12-05,1,0,0,0.0197,7,0.0073,4,0.0733,81
ABEV3,2017-12-06,1,0,0,0.0111,3,0.0028,3,0.0751,80
ABEV3,2017-12-07,1,0,0,0.009,2,0.009,2,0.0726,79
ABEV3,2017-12-08,1,0,0,0.0113,3,0.0028,2,0.0676,78
ABEV3,2017-12-11,1,0,0,0.0071,2,0.0055,2,0.0628,77
ABEV3,2017-12-12,1,0,0,0.0098,2,0.0071,2,0.0619,76
ABEV3,2017-12-13,1,0,0,0.0483,60,0.0415,58,0.0518,75
ABEV3,2017-12-14,1,0,0,0.0191,12,0.0164,12,0.0619,74
ABEV3,2017-12-15,1,0,0,0.0224,11,0.0061,5,0.0656,73
ABEV3,2017-12-18,1,0,0,0.0213,10,0.0093,6,0.0643,72
ABEV3,2017-12-19,1,0,0,0.0216,9,0.0083,4,0.0648,71
ABEV3,2017-12-20,1,0,0,0.0074,2,0.0022,2,0.0654,70
ABEV3,2017-12-21,1,0,0,0.0071,2,0.0049,2,0.0634,69
ABEV3,2017-12-22,1,0,0,0.0083,3,0.0081,3,0.0587,68
ABEV3,2017-12-26,1,0,0,0.007,2,0.0059,2,0.0572,67
ABEV3,2017-12-27,1,0,0,0.011,4,0.0048,4,0.0529,66
ABEV3,2017-12-28,1,0,0,0.0471,50,0.0106,14,0.0506,65
ABEV3,2018-01-02,1,0,0,0.0101,2,0.0075,2,0.0518,64
ABEV3,2018-01-03,1,0,0,0.0443,48,0.0053,8,0.0478,63
ABEV3,2018-01-04,1,0,0,0.0411,47,0.0261,43,0.0446,62
ABEV3,2018-01-05,1,0,0,0.0431,46,0.0084,18,0.0466,61
ABEV3,2018-01-08,1,0,0,0.0417,45,0.012,18,0.0452,60
ABEV3,2018-01-09,1,0,0,0.0427,44,0.0094,16,0.0462,59
ABEV3,2018-01-10,1,0,0,0.0065,2,0.0005,2,0.0496,58
ABEV3,2018-01-11,1,0,0,0.0417,42,0.011,15,0.0452,57
