Datetime,Open,Max,Min,Close,Volume,PEAKS,EMA_17,EMA_72,UDT_COEF,UDT_STATUS
2020-07-23 12:00:00,100.0200,100.4700,99.8500,100.3200,405130,0,100.2630,98.5025,0.0589,1
2020-07-23 13:00:00,100.3300,100.3400,99.8100,99.8400,608940,0,100.2160,98.5392,0.0554,1
2020-07-23 14:00:00,99.8300,99.9400,99.3300,99.3700,1035090,0,100.1220,98.5619,0.0520,1
2020-07-23 15:00:00,99.3500,99.4000,98.3800,98.7000,1751240,0,99.9640,98.5657,0.0471,1
2020-07-23 16:00:00,98.7100,98.7500,98.2700,98.4200,1493590,0,99.7925,98.5617,0.0450,1
2020-07-23 17:00:00,98.4000,98.4000,98.4000,98.4000,633920,0,99.6377,98.5573,0.0449,1
2020-07-24 10:00:00,98.3000,98.3100,97.0900,97.4500,1463210,-1,99.3947,98.5270,-0.0339,-1
2020-07-24 11:00:00,97.4300,98.9300,97.3900,98.7500,1595690,0,99.3230,98.5331,-0.0211,-1
2020-07-24 12:00:00,98.7400,98.7900,98.0800,98.4000,885520,0,99.2205,98.5294,-0.0246,-1
2020-07-24 13:00:00,98.3900,98.4500,97.9500,98.1600,678040,0,99.1026,98.5193,-0.0269,-1
2020-07-24 14:00:00,98.1400,98.5600,97.7000,98.5200,1131230,0,99.0379,98.5193,-0.0234,-1
2020-07-24 15:00:00,98.5500,98.7400,98.1200,98.2000,1023860,0,98.9448,98.5106,-0.0266,-1
2020-07-24 16:00:00,98.2200,98.7000,98.0500,98.7000,2299960,0,98.9176,98.5158,-0.0216,-1
2020-07-24 17:00:00,98.5900,98.5900,98.5900,98.5900,379580,0,98.8812,98.5178,-0.0227,-1
2020-07-27 10:00:00,98.5900,99.7300,98.5900,99.6200,934500,0,98.9633,98.5480,-0.0125,-1
2020-07-27 11:00:00,99.6000,100.5600,99.5500,100.4500,989680,0,99.1285,98.6001,-0.0044,0
2020-07-27 12:00:00,100.4300,100.5300,100.0100,100.1500,915050,0,99.2420,98.6426,-0.0073,0
2020-07-27 13:00:00,100.1600,100.5300,100.0400,100.1600,658040,0,99.3440,98.6841,-0.0072,0
2020-07-27 14:00:00,100.1800,100.6500,100.0100,100.4100,1025270,1,99.4624,98.7314,0.0172,1
2020-07-27 15:00:00,100.4000,100.5400,100.2500,100.3000,1911590,0,99.5555,98.7744,0.0164,1
2020-07-27 16:00:00,100.3200,100.7300,100.2700,100.6200,895820,0,99.6738,98.8250,0.0187,1
2020-07-27 17:00:00,100.4600,100.4600,100.4600,100.4600,436560,0,99.7611,98.8698,0.0175,1
2020-07-28 10:00:00,100.2500,100.7000,99.6100,100.3500,1142440,0,99.8266,98.9103,0.0167,1
2020-07-28 11:00:00,100.3300,100.5700,100.0100,100.3700,635730,0,99.8869,98.9503,0.0169,1
2020-07-28 12:00:00,100.3400,100.4000,99.9500,100.1800,584320,-1,99.9195,98.9840,0.0162,1
2020-07-28 13:00:00,100.1900,100.5100,100.1700,100.3700,421440,0,99.9696,99.0220,0.0180,1
2020-07-28 14:00:00,100.3600,100.3800,100.0900,100.2100,791490,0,99.9963,99.0545,0.0165,1
2020-07-28 15:00:00,100.2200,100.8000,100.2100,100.7000,941840,0,100.0745,99.0996,0.0213,1
2020-07-28 16:00:00,100.7100,100.7800,100.2800,100.3100,1170860,0,100.1006,99.1328,0.0174,1
